ref_id,collected_at,source_type,account,post_url,format,summary,fixed_elements,variable_elements,hook_elements,visible_metrics,apply_point,hypothesis_candidate,status,linked_hypothesis_id
R-20260826-01,2026-08-26 13:04,link,@ourproject_chisang,https://reference.snipit.im/monitoring/instagram-analysis/6129,reel,"계정 전체 분석(Snipit 리포트) — 팔로워 85,451 / 게시물 124 / 평균 좋아요 652 / 평균 댓글 641","인물 정면 토킹헤드+손 제스처, 동일 세트·의상 반복, 표지 2줄 카피, 하단 1/3 중앙 자막","소재(대본/폰트/AI툴), 게스트, 화면 속 문서",표지 2줄: 1행=조건·대상(작게) + 2행=명사형 약속(크게). ~하는 법 / ~하는 이유 형 종결,좋아요율 0.76% · 댓글율 0.75% · 댓글:좋아요 0.98:1 (정상 5~20:1 대비 극이례 — 댓글 CTA 상시 운용 시그니처),스폰지타임즈 댓글:좋아요는 0.21:1. 릴스 말미+캡션에 단일 키워드 댓글 CTA를 고정 삽입해 댓글을 구조적으로 유도,"AI 입문 직장인에게 '댓글로 [키워드] 남기면 템플릿 드려요' CTA를 릴스 말미에 고정 삽입하면, 댓글:좋아요 비율이 베이스라인 0.21:1의 2배 이상이 될 것이다",보관,
R-20260826-02,2026-08-26 13:04,image,@ourproject_chisang,,reel,"RANK1 릴스 — 표지 '떡상한 영상 대본 티 안나게 / 베끼는 법' (좋아요 1,219 · 댓글 8,800)","2줄 표지, 화면 속 실물 문서('구조컨닝 대본') 노출",주제(대본 구조),금기 프레임 — 대놓고 말 못 할 욕망을 대신 말해줌('티 안나게 베끼는 법') + 댓글로 '구조' 남기기 CTA,"댓글이 평균의 13.7배, 좋아요는 1.9배 — 댓글만 비선형 증폭","'실패 화면 그대로', '아무도 말 안 하는' 류 금기·부정 프레임을 스폰지타임즈 표지 후크 문장에 적용(브랜드 고정요소는 유지)","AI를 배우려는 비개발자에게 금기·부정 프레임 훅(예: '저장만 하고 안 쓰는 이유')으로 캐러셀을 보여주면, 댓글 수가 최근 4주 캐러셀 평균의 2배 이상일 것이다",보관,
R-20260826-03,2026-08-26 13:04,image,@ourproject_chisang,,reel,"RANK2 릴스 — 표지에 폰트 X/O 대조 리스트 통째 노출 (조회 239,634 = 팔로워의 2.8배)","2줄/대조 레이아웃, 인물+자막",비교 대상(폰트),표지에서 이미 정보가 완결 — X(빨강)/O(초록) 리스트를 표지에 노출해 스크롤 정지와 즉시 이해가 동시에 일어남,조회/팔로워 2.8배 — 비팔로워 도달 최고 성과. 좋아요/조회 1.05%,비팔로워 도달용 콘텐츠는 표지에 결론 리스트를 노출(정보를 아끼지 않기). 전환용(저장·팔로우) 콘텐츠와 포맷을 분리 운영,"비팔로워에게 X/O 대조 리스트를 표지에 노출한 캐러셀을 보여주면, 비팔로워 도달 비율이 베이스라인(캐러셀 77.2%)보다 높고 조회수가 평균 740의 1.5배 이상일 것이다",보관,
R-20260826-04,2026-08-26 13:04,image,@ourproject_chisang,,reel,"RANK3 릴스 — '클로드를 나만의 / 스토리텔링 PD로 만드는 법' + 중앙 대형 숫자 5000만, 조회수 칩 8개 (좋아요 557 · 댓글 3,504)","2줄 표지, AI 툴 활용 주제","툴(클로드), 성과 숫자",증거 숫자를 표지에 시각적으로 박아 권위 인식 형성(5000만 + 조회수 칩 나열),댓글:좋아요 6.3배,"스폰지타임즈도 실제 성과 숫자(예: 8명→214명, 500명 달성)를 표지에 숫자 그대로 노출 — 이미 보유한 재료","AI 툴에 관심 있는 사람에게 성과 숫자를 표지에 박은 캐러셀을 보여주면, 저장률이 베이스라인 0.21%의 1.3배 이상일 것이다",보관,
R-20260826-05,2026-08-26 13:04,image,@easystrength101 / @daomsofa_ / @channel.io,,reel,유사 계정 3곳의 최근 릴스 표지 15장 전수 관찰 — 카피 공통 패턴,"15/15 전부 2줄 구조(1행 조건·대상 작게 / 2행 약속 크게), 인물 정면+손 제스처, 동일 세트 반복","소재, 숫자, 프레임 유형","명사형 종결(~하는 법/이유/조건) · 부정·금지(절대 안 하는 것, 틀린 겁니다) · 진짜/따로 있다 · 숫자 구체화(4주, 10회). 첫 자막은 표지와 분리되어 대화 중간 연결어로 시작(그러면 이제 / 여기까지 왔다면)",,표지 카피를 '1행 조건 + 2행 명사형 약속' 2줄 공식으로 강제. 첫 3초 자막은 인사말 대신 대화 중간부터 시작,"릴스 첫 자막을 인사('안녕하세요') 대신 대화 중간 연결어로 시작하면, 조회수가 베이스라인 1,572의 1.2배 이상일 것이다",보관,
R-20260826-06,2026-08-26 13:04,link,@spongeclub.ai,https://reference.snipit.im/monitoring/instagram-analysis/6131,carousel,자체 계정 진단(Snipit) — 보완점 1: 절대 인게이지먼트 낮음(평균 좋아요 14 · 댓글 3),,,자체 TOP3 승리 공식: 실명·직업 특정 인물 + 숫자화된 결과 + Before→After 변화 서사 (3건 전부 공통),좋아요율 2.77% · 댓글율 0.57% · TOP1 좋아요 50(평균의 3.6배)·댓글 17(6.0배),이미 검증된 승리 공식(인물+숫자+변화 서사)을 예외가 아니라 기본 포맷으로 고정,"AI를 배우려는 직장인에게 '인물+숫자화된 결과+Before/After' 구조의 캐러셀을 보여주면, 좋아요가 최근 4주 평균 14개의 2배 이상일 것이다",보관,
R-20260826-07,2026-08-26 13:04,link,@spongeclub.ai,,carousel,자체 계정 진단 — 보완점 3: 캡션이 과도하게 길고 복잡,,,제언: 핵심 메시지를 먼저 제시하고 세부는 댓글로 전개하는 구조,,캡션 첫 줄에 결론·후크를 배치하고 상세는 첫 댓글로 분리 (프론트로딩),"캡션 첫 줄에 결론을 배치하고 상세를 첫 댓글로 옮기면, 프로필 방문 수가 최근 4주 평균보다 높을 것이다",보관,
R-20260826-08,2026-08-26 13:04,link,@spongeclub.ai,,carousel,"자체 계정 진단 — 보완점 2: 게시물 123개 대비 팔로워 500명, 성장 효율 낮음",,,,아워윤과 게시물 수는 123 vs 124로 동일한데 팔로워는 171배 차이 — 병목은 생산량이 아니라 도달·확산,'더 많이 만들기'가 아니라 '퍼지는 것 찾아 반복하기'로 운영 원칙 확정 — 3기 가설 검증 루프의 근거,,보관,
R-20260826-09,2026-08-26 14:20,image,@_business.story,,carousel,가장 효과적인 릴스 업로드 시간 (글로벌 데이터 기반) — 요일×시간 표를 노트 필기 스타일로 통째 노출,"노트 필기(모눈/스프링) 배경, 손글씨 폰트, 초록 형광펜 강조, 캐릭터 말풍선, 하단 계정 서명","주제(업로드 시간), 표 데이터",'전 세계 기준!' + '이 시간에 올리면 도달률 UP!' 말풍선 — 표지에서 정보가 완결(표 전체 노출)되어 저장 유도. 아워윤 RANK2(X/O 리스트 노출)와 같은 계열,,"① 표지에 결론 표를 통째 노출하는 '저장용 정보 콘텐츠' 포맷 — 스폰지타임즈도 스킬·프롬프트 정리표로 응용 가능. ② 게시 시간을 교란변수가 아니라 실험 변수로 승격 가능(단, 이 표는 글로벌 데이터라 한국 계정에 그대로 적용 불가 — 검증 대상)","AI에 관심 있는 직장인에게 결론 표를 표지에 통째 노출한 저장용 캐러셀을 보여주면, 저장률이 베이스라인 0.21%의 1.5배 이상일 것이다",보관,
R-20260826-10,2026-08-26 16:33,image,@ourproject_chisang,,reel,"'친구 진짜 제대로 도와주는 법 3가지' 릴스 (4/8 발행) — 좋아요 2,131 · 댓글 90 · 리포스트 128 · 공유 7,675","인물 정면 토킹헤드+손 제스처, 창가 동일 세트, 표지 2줄(1행 고딕 굵게 + 2행 손글씨체), 단계마다 화면 중앙 자막, '32가지 레슨' 시리즈 연재 구조(#7) + '내일 다음레슨에서 봐요' 예고","레슨 주제, 3단 항목","표지 '친구 영상 / 끝까지 보기'. 캡션 죄책감 프레임: '좋아요만 누르고 영상 넘겼다면, 오히려 친구 알고리즘을 망치고 있던 겁니다..!' + 명시적 공유 요청 '인스타 하는 친구가 있다면 꼭 이 영상도 공유해주세요'","공유:좋아요 = 3.6:1 (7,675 vs 2,131). 같은 계정 RANK1은 댓글:좋아요 7.2:1 — 콘텐츠 목적에 따라 증폭 지표를 갈아탐. 이 캡처 자체가 제3자의 스토리 공유 화면 = 공유가 실제로 일어난 증거",① 공유를 '요청'하는 게 아니라 콘텐츠 주제 자체가 공유 행동과 일치하게 설계(자기지시적 구조) — '친구를 도우려면 공유해야 한다'는 내용이라 공유가 자연스러운 귀결이 됨. 스폰지타임즈 공유율은 캐러셀 0.52%·릴스 0.09%로 약해 개선 여지 큼. ② 시리즈 연재(#N + 다음 편 예고)로 재방문 유도,"AI를 혼자 배우는 직장인에게 '혼자 배우면 안 되는 이유' 훅으로 공유가 자연스러운 귀결이 되는 릴스를 보여주면, 공유율이 베이스라인 릴스 0.09%의 3배 이상일 것이다",보관,
